"filename", "language", "PostCSS", "HTML", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\nebuto\Desktop\kursMoodle\p5-sketches\htmlcss.html", "HTML", 0, 231, 0, 0, 8, 11, 250
"c:\Users\nebuto\Desktop\kursMoodle\p5-sketches\img\superposition.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\nebuto\Desktop\kursMoodle\p5-sketches\links.html", "HTML", 0, 1331, 0, 0, 11, 17, 1359
"c:\Users\nebuto\Desktop\kursMoodle\p5-sketches\p5.min.js", "JavaScript", 0, 0, 0, 1, 1, 0, 2
"c:\Users\nebuto\Desktop\kursMoodle\p5-sketches\sammelKap1.html", "HTML", 0, 1294, 0, 0, 61, 71, 1426
"c:\Users\nebuto\Desktop\kursMoodle\p5-sketches\sammelKap2.html", "HTML", 0, 1205, 0, 0, 70, 131, 1406
"c:\Users\nebuto\Desktop\kursMoodle\p5-sketches\sammelKap3.html", "HTML", 0, 1090, 0, 0, 51, 103, 1244
"c:\Users\nebuto\Desktop\kursMoodle\p5-sketches\sammelKap4.html", "HTML", 0, 204, 0, 0, 8, 20, 232
"c:\Users\nebuto\Desktop\kursMoodle\p5-sketches\sammelKap5.html", "HTML", 0, 560, 0, 0, 30, 46, 636
"c:\Users\nebuto\Desktop\kursMoodle\p5-sketches\sammelKap6.html", "HTML", 0, 46, 0, 0, 2, 5, 53
"c:\Users\nebuto\Desktop\kursMoodle\p5-sketches\sketches.js", "JavaScript", 0, 0, 0, 1359, 54, 302, 1715
"c:\Users\nebuto\Desktop\kursMoodle\p5-sketches\style.css", "PostCSS", 374, 0, 0, 0, 44, 67, 485
"c:\Users\nebuto\Desktop\kursMoodle\p5-sketches\superposition.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\nebuto\Desktop\kursMoodle\p5-sketches\template.html", "HTML", 0, 23, 0, 0, 1, 2, 26
"Total", "-", 374, 5984, 2, 1360, 341, 775, 8836
